Content,Video title,Video publish time,Duration,Average percentage viewed (%),Regular viewers,Engaged views,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
Total,,,,7.76,0,8244,8244,531.8714,211,0:03:53,71105,5.15
WcGwa_XZQxI,Importance of Digital Literacy,"Aug 12, 2024",2497,2.04,,239,239,3.3871,3,0:00:51,1308,10.78
DDPoud4wCtY,The reason I left Google Deep Mind,"Apr 8, 2025",4275,3.96,,48,48,2.26,0,0:02:49,335,5.07
 -e0JZNRR-QA,Ethioware Product Description,,96,29.17,,6,6,0.0467,0,0:00:28,0,
25Txzdyd3Yo,"Comment ""apply"" for the application link","Aug 10, 2024",61,25.63,,54,54,0.2317,0,0:00:15,794,1.76
DYK2HKo-aco,Company Email Setup,,123,103.69,,48,48,1.7005,0,0:02:07,0,
JJZ6PjebrSk,Introduction to Ethioware EdTech Initiative,,61,72.51,,6,6,0.0737,0,0:00:44,0,
O4EzwF6JgSE,Welcome!,"Jul 28, 2025",52,58.11,,16,16,0.1343,0,0:00:30,106,4.72
SeHpVNXnI3c,Pitch deck,,90,35.21,,3,3,0.0264,0,0:00:31,0,
Xqb8_m5vSTI,"GDG Addis Devfest, 2024. Hosted by  @alxethiopia  ​",,831,30.21,,4,4,0.2789,0,0:04:11,0,
Z629OefDUAw,SE at the Global Stage  Journey of Mr  Amanuel Sisay,,2768,0.69,,1,1,0.0053,0,0:00:19,0,
Z9lzl0DzWHQ,Ethioware Pre-Training Graduation: May Cohort,"Jul 5, 2025",3110,7.89,,126,126,8.5908,1,0:04:05,1480,1.55
_FdAB8qx9Ak,Who are we?,,465,30.02,,12,12,0.4653,0,0:02:19,0,
cHZ_TIDKnuE,Expert Session EP 26: SWE @ Microsoft with Mr  Kaleab,,4481,8.87,,12,12,1.3246,0,0:06:37,2,0
iL99hPBBSBI,Ethioware Medicine Basics Graduation,"May 21, 2025",3867,4.67,,81,81,4.0607,3,0:03:00,381,3.15
ij_uwJtaE5E,Internal Medicine  Journey of Dr  Mihret,,5232,17.33,,20,20,5.0386,0,0:15:06,9,11.11
kTB6cLZuhcg,"GDG Addis Devfest, 2024. Hosted by @alxethiopia",,831,27.88,,7,7,0.4505,1,0:03:51,0,
ly1yBWyw3OM,Medicine Basics  The journey of Ms  Meklit .Y,,2411,8.64,,21,21,1.2158,0,0:03:28,0,
rFgA8dFc7ZE,Development at a Global Stage  Journey of Ms  Betelhem D,,4093,8.05,,36,36,2.2738,0,0:05:29,0,
tiJKLReOyZM,ሀይ አትበሉ! @IBYohannes,"Oct 8, 2024",4471,3.9,,461,461,22.3032,8,0:02:54,4233,3.26
xOGkv1_WWNM,Medicine Basics: Insights from the siblings,"Apr 27, 2025",649,17.15,,101,101,3.123,8,0:01:51,405,2.22
xvt19FNryAU,July Cohort Orientation,,1436,20.73,,110,110,9.0977,8,0:04:57,2,0
 -ErzNW5H7Ks,Day 2,,2445,12.12,,10,10,0.8234,0,0:04:56,0,
08np20KYF08,Ethioware May Cohort Learner Graduation,,3110,8,,65,65,4.4924,3,0:04:08,0,
1Rg4g-EP_9c,"Webinar, Mar3 '23",,3159,2.8,,2,2,0.0492,0,0:01:28,0,
1muTtvQdDa0,Startups with Markos Lemma,"Dec 4, 2023",3352,0.31,,13,13,0.0373,1,0:00:10,435,2.53
46ZRM3aVGAw,Applicant Series Ep 01   Sibongile Nhlema,,531,18.62,,8,8,0.2197,0,0:01:38,0,
4Iht_0XKvu4,Journey of an IOS Developer #3,"Dec 4, 2023",1443,7.38,,10,10,0.296,0,0:01:46,3108,0.19
4imy1oKebR0,Introduction to Python (CS Club),,2757,10.47,,30,30,2.4065,0,0:04:48,1,0
4mysymm0ZYs,Android Application Tutorial Amharic- አፕሊኬሽን ለመስራት የመጀመሪያው ቪዲዮ::,"Aug 7, 2021",1035,20.12,,54,54,3.1238,4,0:03:28,508,8.46
4nv-6OYuoOY,Training Orientation,,1259,20.35,,32,32,2.2777,1,0:04:16,0,
5ftGj0_tSmw,subscribe 😁,,789,37.08,,26,26,2.1128,1,0:04:52,0,
5sWMgDHIQ2E,"Expert Session  business as a developer, Journey of Prince Twumasi",,3828,8.24,,1,1,0.0876,0,0:05:15,0,
6WLbWyWYanw,Conditional Statment,,1082,16.37,,30,30,1.4761,0,0:02:57,1,0
7BkrCwC4YKY,"Webinar with Lead IOS developer, Co-founder, and Product Manager","Aug 12, 2024",1271,16.05,,14,14,0.7931,0,0:03:23,549,2
95DuU6Cz-xY,Retaining one's own identity,"Dec 4, 2023",662,29,,4,4,0.2133,0,0:03:12,219,0.91
9SpZGiyHZ54,day3,,3655,11.43,,13,13,1.5092,0,0:06:57,0,
AK36uWm5V5o,"Experential AI, Bias, open AI, Language, Capitalism, and more","Apr 20, 2024",2477,2.46,,77,77,1.3051,2,0:01:01,664,2.11
As_m3hTgmww,Activity section,,662,99.22,,1,1,0.1825,0,0:10:56,0,
EZxUe96OIfk,Skilledup life registration for Ethioware Applicants,,138,55.89,,262,262,5.6129,5,0:01:17,0,
FZui5MCjmck,Navigating the Goggle Classroom,,290,55.75,,44,44,1.9759,2,0:02:41,0,
J446rfsedxE,"Webinar with Lead IOS developer, Co-founder, and Product Manager.","Feb 16, 2023",877,21.6,,174,174,9.1552,8,0:03:09,499,10.82
JB7UPgV46kQ,CTP-prep,,1432,28.98,,8,8,0.9222,1,0:06:54,0,
JreCpM8T4So,Importance of Digital Literacy,"Dec 4, 2023",2497,3.24,,277,277,6.2232,5,0:01:20,2604,10.18
KPON19IRQUc,First Class (Mar7 '23),,259,40.86,,23,23,0.6762,1,0:01:45,0,
